Time	f(number(86400)/count()) – Bitcoin
03.01.2009	86400
09.01.2009	6171.428571428572
10.01.2009	1416.3934426229507
11.01.2009	929.0322580645161
12.01.2009	919.1489361702128
13.01.2009	702.439024390244
14.01.2009	669.7674418604652
15.01.2009	685.7142857142857
16.01.2009	800
17.01.2009	792.6605504587156
18.01.2009	807.4766355140187
19.01.2009	751.304347826087
20.01.2009	757.8947368421053
21.01.2009	847.0588235294117
22.01.2009	949.4505494505495
23.01.2009	1028.5714285714287
24.01.2009	429.85074626865674
25.01.2009	452.35602094240835
26.01.2009	900
27.01.2009	890.7216494845361
28.01.2009	771.4285714285714
29.01.2009	714.0495867768595
30.01.2009	738.4615384615385
31.01.2009	626.0869565217391
01.02.2009	764.6017699115044
02.02.2009	675
03.02.2009	621.5827338129496
04.02.2009	726.0504201680673
05.02.2009	685.7142857142857
06.02.2009	708.1967213114754
07.02.2009	669.7674418604652
08.02.2009	654.5454545454545
09.02.2009	644.776119402985
10.02.2009	720
11.02.2009	649.624060150376
12.02.2009	726.0504201680673
13.02.2009	696.7741935483871
14.02.2009	635.2941176470588
15.02.2009	675
16.02.2009	708.1967213114754
17.02.2009	738.4615384615385
18.02.2009	732.2033898305085
19.02.2009	696.7741935483871
20.02.2009	708.1967213114754
21.02.2009	757.8947368421053
22.02.2009	714.0495867768595
23.02.2009	800
24.02.2009	815.0943396226415
25.02.2009	822.8571428571429
26.02.2009	807.4766355140187
27.02.2009	751.304347826087
28.02.2009	872.7272727272727
01.03.2009	822.8571428571429
02.03.2009	800
03.03.2009	822.8571428571429
04.03.2009	830.7692307692307
05.03.2009	771.4285714285714
06.03.2009	738.4615384615385
07.03.2009	792.6605504587156
08.03.2009	751.304347826087
09.03.2009	800
10.03.2009	807.4766355140187
11.03.2009	757.8947368421053
12.03.2009	732.2033898305085
13.03.2009	764.6017699115044
14.03.2009	785.4545454545455
15.03.2009	702.439024390244
16.03.2009	714.0495867768595
17.03.2009	757.8947368421053
18.03.2009	757.8947368421053
19.03.2009	708.1967213114754
20.03.2009	732.2033898305085
21.03.2009	1728
22.03.2009	726.0504201680673
23.03.2009	664.6153846153846
24.03.2009	822.8571428571429
25.03.2009	738.4615384615385
26.03.2009	738.4615384615385
27.03.2009	815.0943396226415
28.03.2009	726.0504201680673
29.03.2009	744.8275862068965
30.03.2009	720
31.03.2009	785.4545454545455
01.04.2009	757.8947368421053
02.04.2009	751.304347826087
03.04.2009	744.8275862068965
04.04.2009	764.6017699115044
05.04.2009	664.6153846153846
06.04.2009	792.6605504587156
07.04.2009	864
08.04.2009	822.8571428571429
09.04.2009	872.7272727272727
10.04.2009	800
11.04.2009	720
12.04.2009	732.2033898305085
13.04.2009	751.304347826087
14.04.2009	696.7741935483871
15.04.2009	764.6017699115044
16.04.2009	702.439024390244
17.04.2009	771.4285714285714
18.04.2009	685.7142857142857
19.04.2009	726.0504201680673
20.04.2009	726.0504201680673
21.04.2009	702.439024390244
22.04.2009	714.0495867768595
23.04.2009	1152
24.04.2009	751.304347826087
25.04.2009	732.2033898305085
26.04.2009	771.4285714285714
27.04.2009	830.7692307692307
28.04.2009	738.4615384615385
29.04.2009	675
30.04.2009	659.5419847328244
01.05.2009	714.0495867768595
02.05.2009	685.7142857142857
03.05.2009	815.0943396226415
04.05.2009	675
05.05.2009	640
06.05.2009	640
07.05.2009	708.1967213114754
08.05.2009	807.4766355140187
09.05.2009	1107.6923076923076
10.05.2009	1016.4705882352941
11.05.2009	720
12.05.2009	664.6153846153846
13.05.2009	778.3783783783783
