Time_l,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin,t,v
17.03.2009,0.01,114,215.96491228070172,757.8947368421053,0.0,1236816000,4
18.03.2009,0.01,116,230.71052631578948,757.8947368421053,0.0,1236902400,14
19.03.2009,0.01,122,215.78688524590163,708.1967213114754,0.0,1236988800,0
20.03.2009,0.01,119,227.85593220338984,732.2033898305085,0.0,1237075200,0
21.03.2009,0.01,50,215.88,1728.0,0.0,1237161600,49
22.03.2009,0.01,121,227.12605042016807,726.0504201680673,0.0,1237248000,0
23.03.2009,0.01,130,215.92307692307693,664.6153846153846,0.0,1237334400,15
24.03.2009,0.01,105,215.9809523809524,822.8571428571429,0.0,1237420800,0
25.03.2009,0.01,117,215.7863247863248,738.4615384615385,0.0,1237507200,13
26.03.2009,0.01,118,243.6068376068376,738.4615384615385,0.0,1237593600,0
27.03.2009,0.01,106,215.9528301886793,815.0943396226415,0.0,1237680000,12
28.03.2009,0.01,122,236.23529411764707,726.0504201680673,0.0,1237766400,0
29.03.2009,0.01,116,215.9655172413793,744.8275862068965,0.0,1237852800,0
30.03.2009,0.01,120,215.85,720.0,0.0,1237939200,0
31.03.2009,0.01,111,249.51818181818183,785.4545454545455,0.0,1238025600,29
01.04.2009,0.01,114,215.859649122807,757.8947368421053,0.0,1238112000,0
02.04.2009,0.01,115,215.88695652173917,751.304347826087,0.0,1238198400,21
03.04.2009,0.01,116,215.94827586206893,744.8275862068965,0.0,1238284800,0
04.04.2009,0.01,113,215.7433628318584,764.6017699115044,0.0,1238371200,0
05.04.2009,0.01,132,231.55384615384617,664.6153846153846,0.0,1238457600,33
06.04.2009,0.01,109,215.9816513761468,792.6605504587156,0.0,1238544000,0
07.04.2009,0.01,100,215.99,864.0,0.0,1238630400,0
08.04.2009,0.01,105,216.0,822.8571428571429,0.0,1238716800,0
09.04.2009,0.01,99,215.73737373737373,872.7272727272727,0.0,1238803200,0
10.04.2009,0.01,108,215.94444444444449,800.0,0.0,1238889600,18
11.04.2009,0.01,121,223.33333333333331,720.0,0.0,1238976000,0
12.04.2009,0.01,120,224.71186440677965,732.2033898305085,0.0,1239062400,0
13.04.2009,0.01,116,217.96521739130435,751.304347826087,0.0,1239148800,0
14.04.2009,0.01,124,215.9516129032258,696.7741935483871,0.0,1239235200,0
15.04.2009,0.01,113,215.7433628318584,764.6017699115044,0.0,1239321600,0
16.04.2009,0.01,123,215.89430894308944,702.439024390244,0.0,1239408000,8
17.04.2009,0.01,112,215.8571428571429,771.4285714285714,0.0,1239494400,9
18.04.2009,0.01,130,222.03968253968253,685.7142857142857,0.0,1239580800,2
19.04.2009,0.01,120,224.0,726.0504201680673,0.0,1239667200,0
20.04.2009,0.01,121,327.03361344537814,726.0504201680673,0.0,1239753600,0
21.04.2009,0.01,124,217.739837398374,702.439024390244,0.0,1239840000,0
22.04.2009,0.01,121,215.96694214876032,714.0495867768595,0.0,1239926400,0
23.04.2009,0.01,75,215.68,1152.0,0.0,1240012800,5
24.04.2009,0.01,115,215.90434782608696,751.304347826087,0.0,1240099200,9
25.04.2009,0.01,118,215.864406779661,732.2033898305085,0.0,1240185600,117
26.04.2009,0.01,114,232.05357142857144,771.4285714285714,0.0,1240272000,2
27.04.2009,0.01,104,215.8942307692308,830.7692307692307,0.0,1240358400,0
28.04.2009,0.01,117,215.63247863247864,738.4615384615385,0.0,1240444800,0
29.04.2009,0.01,129,234.09375,675.0,0.0,1240531200,0
30.04.2009,0.01,131,215.95419847328245,659.5419847328244,0.0,1240617600,0
01.05.2009,0.01,121,215.87603305785123,714.0495867768595,0.0,1240704000,16
02.05.2009,0.01,128,231.37301587301587,685.7142857142857,2.34375e-06,1240790400,0
03.05.2009,0.01,109,223.7264150943396,815.0943396226415,0.0,1240876800,0
04.05.2009,0.01,129,242.9296875,675.0,0.0,1240963200,21
05.05.2009,0.01,136,224.66666666666663,640.0,0.0,1241049600,0
06.05.2009,0.01,135,215.9777777777778,640.0,0.0,1241136000,0
07.05.2009,0.01,122,216.0,708.1967213114754,0.0,1241222400,16
08.05.2009,0.01,107,215.94392523364485,807.4766355140187,0.0,1241308800,4
09.05.2009,0.01,78,215.48717948717947,1107.6923076923076,0.0,1241395200,31
10.05.2009,0.01,85,215.75294117647056,1016.470588235294,0.0,1241481600,11
11.05.2009,0.01,121,218.8583333333333,720.0,8.2644628099e-06,1241568000,0
12.05.2009,0.01,130,215.92307692307693,664.6153846153846,0.0,1241654400,0
13.05.2009,0.01,116,225.7747747747748,778.3783783783783,0.0,1241740800,0
14.05.2009,0.01,142,221.0863309352518,621.5827338129496,0.0,1241827200,0
15.05.2009,0.01,137,224.60294117647055,635.2941176470588,0.0,1241913600,0
16.05.2009,0.01,119,215.9495798319328,726.0504201680673,0.0,1242000000,3
17.05.2009,0.01,127,215.96062992125985,680.3149606299213,0.0,1242086400,0
18.05.2009,0.01,118,215.9237288135593,732.2033898305085,0.0,1242172800,6
19.05.2009,0.01,86,215.88372093023256,1004.6511627906976,0.0,1242259200,6
20.05.2009,0.01,120,215.7333333333333,720.0,0.0,1242345600,11
21.05.2009,0.01,82,215.96341463414635,1053.658536585366,0.0,1242432000,0
22.05.2009,0.01,61,215.9672131147541,1416.3934426229507,0.0,1242518400,0
23.05.2009,0.01,32,215.9375,2700.0,0.0,1242604800,0
24.05.2009,0.01,100,215.9,864.0,0.0,1242691200,0
25.05.2009,0.01,109,215.954128440367,792.6605504587156,0.0,1242777600,0
26.05.2009,0.01,125,215.904,691.2,0.0,1242864000,0
27.05.2009,0.01,119,215.7310924369748,726.0504201680673,0.0,1242950400,0
28.05.2009,0.01,95,215.8842105263158,909.4736842105264,0.0,1243036800,0
29.05.2009,0.01,107,280.83962264150944,815.0943396226415,0.0,1243123200,0
30.05.2009,0.01,109,215.7155963302752,792.6605504587156,0.0,1243209600,0
31.05.2009,0.01,96,216.0,900.0,0.0,1243296000,0
01.06.2009,0.01,72,219.83098591549296,1216.901408450704,0.0,1243382400,0
02.06.2009,0.01,111,215.9099099099099,778.3783783783783,0.0,1243468800,0
03.06.2009,0.01,71,216.0,1216.901408450704,0.0,1243555200,61
04.06.2009,0.01,66,215.93939393939397,1309.090909090909,0.0,1243641600,0
