"Date","active_addr","avg.Block.size..kB.....Ethereum","Price..ETH.USD....Ethereum","f.number.86400..count......Ethereum","sum.Transaction.count...Blocks....Ethereum","avg.Fee...Transactions..USD.....Ethereum"
2015-09-13,1598,763.561255280628,1.0000017,17.3808086904043,6057,0.000866268341973464
2015-09-14,1622,771.170068027211,0.871,17.8107606679035,5572,0.000793508300102012
2015-09-15,1486,755.324659231722,1.0289971,17.8438661710037,5409,0.000825119954840531
2015-09-16,1509,738.598466505246,1.0199988,17.4334140435835,5872,0.00138745551601423
2015-09-17,1516,753.392470881864,0.8885184,17.9700499168053,5368,0.000708314372392871
2015-09-18,1459,784.675598281857,0.87,17.672325628963,5802,0.000921344871101496
2015-09-19,1367,734.689641591178,0.959987,17.0145726664041,5205,0.00070771372876636
2015-09-20,1466,765.962488218662,0.95995283,16.2865221489161,6402,0.000866402116402116
2015-09-21,1520,778.834482758621,0.95995206,17.0246305418719,6305,0.000829837883959044
2015-09-22,1533,806.98297366858,0.8815,17.1055236586814,6804,0.000814111741956719
2015-09-23,1732,784.060019361084,0.935,16.7279767666989,7404,0.00078486398511974
2015-09-24,1568,781.651065524796,0.8875,17.2077275443139,6224,0.000774503711375798
2015-09-25,1536,767.053062817011,0.819,16.8552477565353,5851,0.000728387551794058
2015-09-26,1420,764.729006085193,0.6999999,17.525354969574,5907,0.000565530201342282
2015-09-27,1414,724.726168028494,0.78,18.1018227529855,5760,0.000596688191881919
2015-09-28,1545,755.213170113972,0.7000055,18.2355424229633,6123,0.000565301724137931
2015-09-29,1532,762.180818965517,0.6499056,18.6206896551724,5738,0.000548550317994762
2015-09-30,1490,741.895312171537,0.59999996,18.1627075888165,5870,0.000443048347446053
2015-10-01,1472,740.884069097889,0.735,16.5834932821497,6421,0.000550274908363879
2015-10-02,1375,773.067664787089,0.71,16.7995333462959,6063,0.000580052038161318
2015-10-03,1389,768.651368918653,0.6429628,17.0179239708489,6112,0.000560282205382806
2015-10-04,1393,775.840974212034,0.68,17.6831764224314,6624,0.000536714443219405
2015-10-05,1395,771.40946296666,0.6477306,17.2489518866041,6279,0.000651917098445596
2015-10-06,1415,781.023096129838,0.6429387,17.9775280898876,6458,0.000570303555941023
2015-10-07,1373,808.143085531575,0.60006183,17.2661870503597,7121,0.000572479871175523
2015-10-08,1330,788.719138198758,0.6000743,16.7701863354037,6926,0.000566132167152575
2015-10-09,1366,779.338430173293,0.66999304,17.6146788990826,6763,0.000634181146646521
2015-10-10,1266,777.789828431373,0.67,17.6470588235294,6529,0.000649893116716546
2015-10-11,1300,748.198304750641,0.67,17.0313424009462,6023,0.000527507238747039
2015-10-12,1327,787.463092463092,0.6449989,16.7832167832168,6593,0.000585580041580042
2015-10-13,1475,817.953014878622,0.60002327,16.9146436961629,6818,0.000589416864316676
2015-10-14,1565,791.167815160113,0.6000232,17.5111471422781,6830,0.000571607083747104
2015-10-15,1496,824.149614291514,0.5399407,17.5395858708892,6499,0.000886875427789185
2015-10-16,1366,826.879991808315,0.532006,17.6940405488429,6795,0.000963291774746883
2015-10-17,1353,787.892405063291,0.521,17.0886075949367,6567,0.000513305404273146
2015-10-18,1340,812.078463094034,0.5129987,17.4721941354904,6481,0.00055579629787597
2015-10-19,1450,801.907738693467,0.5129908,17.3668341708543,6604,0.000487127211457456
2015-10-20,1311,770.019438877756,0.4711,17.314629258517,5897,0.000486710045458597
2015-10-21,1520,774.135871743487,0.45109996,17.314629258517,6182,0.00041236366809179
2015-10-22,1386,782.185522233713,0.42969143,17.8697001034126,5979,0.000532377012321252
2015-10-23,1502,817.523845715371,0.54999816,16.4164924947748,6888,0.000616159269347861
2015-10-24,1635,770.572809901373,0.46522045,16.7085670083156,6361,0.000424191102123357
2015-10-25,1494,750.610871271586,0.638986,16.9544740973312,5830,0.000527924093287222
2015-10-26,1648,765.488386308068,0.67000854,17.6039119804401,5938,0.000641928291116661
2015-10-27,1694,814.795977011494,0.7297457,16.551724137931,6784,0.00113022617124394
2015-10-28,1699,808.039460438897,0.85,17.3948057177371,7346,0.000733120918889151
2015-10-29,1971,814.379992245056,0.77000004,16.7506785575805,7836,0.00071409236260876
2015-10-30,2208,780.948203363914,1.3199999,16.5137614678899,7941,0.00131617582093948
2015-10-31,1976,811.936439851823,1.0227265,16.8453889647105,7557,0.00120963746223565
2015-11-01,2128,783.496898022489,0.9383204,16.7506785575805,6915,0.0012020790675697
2015-11-02,2031,779.183917197452,1.0303929,17.1974522292994,6558,0.000893238669198382
2015-11-03,2063,844.058013765978,0.98990524,16.9911504424779,7399,0.000908271425289117
2015-11-04,2038,762.327024390244,0.99230355,16.8585365853659,7037,0.000711832271261112
2015-11-05,1911,813.394865765236,0.8912641,16.9312169312169,7498,0.000703533731069298
2015-11-06,1802,812.017891870867,0.91102964,16.8028004667445,7882,0.00109323883033991
2015-11-07,2058,1004.81856968712,0.9,17.5538399024787,10996,0.00173966480446927
2015-11-08,2262,1015.08504282016,0.9077477,17.2077275443139,12413,0.00151102532770495
