Time,avg(Block size (kB)) – Ethereum,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
30.07.2015,643.87109375,0.0,12.5,1.0,0
31.07.2015,582.0279761037447,0.0,12.589246685123124,1.0,0
01.08.2015,575.1641791044776,0.0,16.323446060835064,1.0,0
02.08.2015,580.8786860768944,0.0,16.12541993281075,1.0,0
03.08.2015,587.1123106060606,0.0,16.363636363636363,1.0,0
04.08.2015,586.9698211624441,0.0,16.09538002980626,1.0,0
05.08.2015,578.945558739255,0.0,16.50429799426934,1.0,0
06.08.2015,583.6708365910868,0.0,16.888193901485536,1.0,0
07.08.2015,632.6253613412989,0.004879275627615,16.650607053382153,1.0,2050
08.08.2015,667.5947488584475,0.0130766841186736,16.438356164383563,1.65,2881
09.08.2015,618.2980675385517,0.0028714389640622,16.86511809486629,1.4,1329
10.08.2015,631.1861084681256,0.005661411703646,16.441484300666033,1.4,2037
11.08.2015,692.0140151515152,0.0006991480198483,16.363636363636363,0.66,4963
12.08.2015,653.4264246682279,0.0044816740895991,16.861826697892273,1.05,2036
13.08.2015,665.7222852818767,0.0037545528266913,16.34506242905789,1.3,2842
14.08.2015,659.751420210019,0.0032204026001258,14.873472198312962,2.14,3174
15.08.2015,638.3351913786696,0.0017708523498211,16.05351170568562,1.625,2284
16.08.2015,640.6537412314887,0.001485936910896,16.835541699142635,1.769999,2440
17.08.2015,634.7076865532074,0.0016422656629431,16.158593603890033,1.7699999,2512
18.08.2015,648.4882780921585,0.0023781664964249,17.461600646725948,1.565,2494
19.08.2015,653.3210708782742,0.0019037049664734,16.640986132511557,1.085,3246
20.08.2015,650.0931908548707,0.0012998177399756,21.47117296222664,1.25,2303
21.08.2015,667.5852987421383,0.0012075120385232,16.9811320754717,1.4410014,3919
22.08.2015,648.0377537469171,0.0061693230131908,16.3915765509391,1.3300006,3579
23.08.2015,680.5922601236784,0.001131292659876,17.235188509874327,1.34,4190
24.08.2015,672.5474537037037,0.0011817972580806,16.666666666666668,1.3300208,4432
25.08.2015,679.72984108299,0.000873596128642,16.951147733961154,1.051,4487
26.08.2015,668.6524085548671,0.000878101881209,17.269638217069758,1.1,4156
27.08.2015,707.929056924384,0.0010332733812949,18.351741716227696,1.27,5590
28.08.2015,690.880077369439,0.0011439284236657,18.56866537717601,1.1,4758
29.08.2015,682.0364980364981,0.0006660804597701,19.95841995841996,1.0600001,4139
30.08.2015,688.9364620938628,0.0007793509993262,20.7942238267148,1.23,4572
31.08.2015,730.6513828238719,0.0009847894736842,20.96069868995633,1.28,5196
01.09.2015,741.2826307770442,0.0009864284171885,21.940071102082275,1.1800001,5153
02.09.2015,766.2815208275091,0.0011449421803076,24.15431926195136,1.2600005,5195
03.09.2015,755.390481820869,0.0010512189234853,25.539462015962165,1.26,4777
04.09.2015,762.3567409408057,0.0011595715808859,19.446320054017555,1.2194,5642
05.09.2015,752.8949400528348,0.00115318275154,17.55740703109124,1.3733683,5519
06.09.2015,733.4594214543994,0.0008535595721136,17.356368019284854,1.161,5521
07.09.2015,752.5999172527927,0.0009788859270153,17.873396772858914,1.1620001,5702
08.09.2015,759.3871622994109,0.0012783347103644,17.550274223034734,1.3499999,5622
09.09.2015,764.6240317775571,0.0011791059723233,17.159880834160873,1.2999995,5604
10.09.2015,729.939636218269,0.0009037568751747,17.269638217069758,1.200003,5341
11.09.2015,735.9089671270181,0.0009271395271395,16.806068858198795,1.2819997,6460
12.09.2015,761.4233983286908,0.0010101268132469,17.19060883406287,0.99,5596
13.09.2015,763.5612552806276,0.0008662683419734,17.380808690404344,1.0000017,6057
14.09.2015,771.1700680272108,0.000793508300102,17.810760667903526,0.871,5572
15.09.2015,755.3246592317224,0.0008251199548405,17.843866171003718,1.0289971,5409
16.09.2015,738.5984665052462,0.0013874555160142,17.433414043583536,1.0199988,5872
17.09.2015,753.3924708818636,0.0007083143723928,17.970049916805323,0.8885184,5368
18.09.2015,784.6755982818572,0.0009213448711014,17.672325628962977,0.87,5802
19.09.2015,734.6896415911776,0.0007077137287663,17.014572666404096,0.959987,5205
20.09.2015,765.9624882186616,0.0008664021164021,16.286522148916116,0.95995283,6402
21.09.2015,778.8344827586207,0.000829837883959,17.02463054187192,0.95995206,6305
22.09.2015,806.9829736685805,0.0008141117419567,17.10552365868145,0.8815,6804
23.09.2015,784.0600193610842,0.0007848639851197,16.727976766698934,0.935,7404
24.09.2015,781.6510655247959,0.0007745037113757,17.207727544313883,0.8875,6224
25.09.2015,767.0530628170113,0.000728387551794,16.85524775653531,0.819,5851
26.09.2015,764.7290060851927,0.0005655302013422,17.525354969574035,0.6999999,5907
27.09.2015,724.7261680284936,0.0005966881918819,18.101822752985544,0.78,5760
28.09.2015,755.2131701139722,0.0005653017241379,18.235542422963277,0.7000055,6123
29.09.2015,762.1808189655172,0.0005485503179947,18.620689655172413,0.6499056,5738
30.09.2015,741.8953121715367,0.000443048347446,18.16270758881648,0.59999996,5870
01.10.2015,740.8840690978886,0.0005502749083638,16.58349328214971,0.735,6421
02.10.2015,773.0676647870893,0.0005800520381613,16.799533346295938,0.71,6063
03.10.2015,768.6513689186528,0.0005602822053828,17.017923970848926,0.6429628,6112
04.10.2015,775.8409742120344,0.0005367144432194,17.683176422431437,0.68,6624
05.10.2015,771.40946296666,0.0006519170984455,17.24895188660411,0.6477306,6279
06.10.2015,781.0230961298377,0.000570303555941,17.97752808988764,0.6429387,6458
