Time,avg(Block size (kB)) – Ethereum,t,v,t_lambda,avg(Fee – Transactions (USD)) – Ethereum,f(number(86400)/count()) – Ethereum,Price (ETH/USD) – Ethereum,sum(Transaction count – Blocks) – Ethereum
15.09.2015,755.3246592317224,1442275200.0,1486.0,15.09.2015,0.0008251199548405,17.843866171003718,1.0289971,5409
16.09.2015,738.5984665052462,1442361600.0,1509.0,16.09.2015,0.0013874555160142,17.433414043583536,1.0199988,5872
17.09.2015,753.3924708818636,1442448000.0,1516.0,17.09.2015,0.0007083143723928,17.970049916805323,0.8885184,5368
18.09.2015,784.6755982818572,1442534400.0,1459.0,18.09.2015,0.0009213448711014,17.672325628962977,0.87,5802
19.09.2015,734.6896415911776,1442620800.0,1367.0,19.09.2015,0.0007077137287663,17.014572666404096,0.959987,5205
20.09.2015,765.9624882186616,1442707200.0,1466.0,20.09.2015,0.0008664021164021,16.286522148916116,0.95995283,6402
21.09.2015,778.8344827586207,1442793600.0,1520.0,21.09.2015,0.000829837883959,17.02463054187192,0.95995206,6305
22.09.2015,806.9829736685805,1442880000.0,1533.0,22.09.2015,0.0008141117419567,17.10552365868145,0.8815,6804
23.09.2015,784.0600193610842,1442966400.0,1732.0,23.09.2015,0.0007848639851197,16.727976766698934,0.935,7404
24.09.2015,781.6510655247959,1443052800.0,1568.0,24.09.2015,0.0007745037113757,17.207727544313883,0.8875,6224
25.09.2015,767.0530628170113,1443139200.0,1536.0,25.09.2015,0.000728387551794,16.85524775653531,0.819,5851
26.09.2015,764.7290060851927,1443225600.0,1420.0,26.09.2015,0.0005655302013422,17.525354969574035,0.6999999,5907
27.09.2015,724.7261680284936,1443312000.0,1414.0,27.09.2015,0.0005966881918819,18.101822752985544,0.78,5760
28.09.2015,755.2131701139722,1443398400.0,1545.0,28.09.2015,0.0005653017241379,18.235542422963277,0.7000055,6123
29.09.2015,762.1808189655172,1443484800.0,1532.0,29.09.2015,0.0005485503179947,18.620689655172413,0.6499056,5738
30.09.2015,741.8953121715367,1443571200.0,1490.0,30.09.2015,0.000443048347446,18.16270758881648,0.59999996,5870
01.10.2015,740.8840690978886,1443657600.0,1472.0,01.10.2015,0.0005502749083638,16.58349328214971,0.735,6421
02.10.2015,773.0676647870893,1443744000.0,1375.0,02.10.2015,0.0005800520381613,16.799533346295938,0.71,6063
03.10.2015,768.6513689186528,1443830400.0,1389.0,03.10.2015,0.0005602822053828,17.017923970848926,0.6429628,6112
04.10.2015,775.8409742120344,1443916800.0,1393.0,04.10.2015,0.0005367144432194,17.683176422431437,0.68,6624
05.10.2015,771.40946296666,1444003200.0,1395.0,05.10.2015,0.0006519170984455,17.24895188660411,0.6477306,6279
06.10.2015,781.0230961298377,1444089600.0,1415.0,06.10.2015,0.000570303555941,17.97752808988764,0.6429387,6458
07.10.2015,808.1430855315747,1444176000.0,1373.0,07.10.2015,0.0005724798711755,17.26618705035971,0.60006183,7121
08.10.2015,788.7191381987577,1444262400.0,1330.0,08.10.2015,0.0005661321671525,16.770186335403725,0.6000743,6926
09.10.2015,779.3384301732925,1444348800.0,1366.0,09.10.2015,0.0006341811466465,17.61467889908257,0.66999304,6763
10.10.2015,777.7898284313726,1444435200.0,1266.0,10.10.2015,0.0006498931167165,17.647058823529413,0.67,6529
11.10.2015,748.1983047506407,1444521600.0,1300.0,11.10.2015,0.000527507238747,17.031342400946187,0.67,6023
12.10.2015,787.4630924630925,1444608000.0,1327.0,12.10.2015,0.00058558004158,16.783216783216783,0.6449989,6593
13.10.2015,817.9530148786217,1444694400.0,1475.0,13.10.2015,0.0005894168643166,16.91464369616288,0.60002327,6818
14.10.2015,791.1678151601135,1444780800.0,1565.0,14.10.2015,0.0005716070837471,17.51114714227807,0.6000232,6830
15.10.2015,824.1496142915145,1444867200.0,1496.0,15.10.2015,0.0008868754277891,17.53958587088916,0.5399407,6499
16.10.2015,826.8799918083146,1444953600.0,1366.0,16.10.2015,0.0009632917747468,17.694040548842924,0.532006,6795
17.10.2015,787.8924050632911,1445040000.0,1353.0,17.10.2015,0.0005133054042731,17.088607594936708,0.521,6567
18.10.2015,812.0784630940344,1445126400.0,1340.0,18.10.2015,0.0005557962978759,17.472194135490394,0.5129987,6481
19.10.2015,801.9077386934673,1445212800.0,1450.0,19.10.2015,0.0004871272114574,17.366834170854272,0.5129908,6604
20.10.2015,770.0194388777555,1445299200.0,1311.0,20.10.2015,0.0004867100454585,17.314629258517034,0.4711,5897
21.10.2015,774.135871743487,1445385600.0,1520.0,21.10.2015,0.0004123636680917,17.314629258517034,0.45109996,6182
22.10.2015,782.1855222337125,1445472000.0,1386.0,22.10.2015,0.0005323770123212,17.869700103412615,0.42969143,5979
23.10.2015,817.5238457153714,1445558400.0,1502.0,23.10.2015,0.0006161592693478,16.416492494774843,0.54999816,6888
24.10.2015,770.572809901373,1445644800.0,1635.0,24.10.2015,0.0004241911021233,16.708567008315605,0.46522045,6361
25.10.2015,750.6108712715856,1445731200.0,1494.0,25.10.2015,0.0005279240932872,16.95447409733124,0.638986,5830
26.10.2015,765.4883863080685,1445817600.0,1648.0,26.10.2015,0.0006419282911166,17.6039119804401,0.67000854,5938
27.10.2015,814.7959770114943,1445904000.0,1694.0,27.10.2015,0.0011302261712439,16.551724137931036,0.7297457,6784
28.10.2015,808.0394604388968,1445990400.0,1699.0,28.10.2015,0.0007331209188891,17.394805717737064,0.85,7346
29.10.2015,814.3799922450562,1446076800.0,1971.0,29.10.2015,0.0007140923626087,16.750678557580457,0.77000004,7836
30.10.2015,780.9482033639143,1446163200.0,2208.0,30.10.2015,0.0013161758209394,16.513761467889907,1.3199999,7941
31.10.2015,811.9364398518229,1446249600.0,1976.0,31.10.2015,0.0012096374622356,16.84538896471047,1.0227265,7557
01.11.2015,783.4968980224893,1446336000.0,2128.0,01.11.2015,0.0012020790675696,16.750678557580457,0.9383204,6915
02.11.2015,779.1839171974523,1446422400.0,2031.0,02.11.2015,0.0008932386691983,17.197452229299362,1.0303929,6558
03.11.2015,844.0580137659783,1446508800.0,2063.0,03.11.2015,0.0009082714252891,16.991150442477878,0.98990524,7399
04.11.2015,762.3270243902439,1446595200.0,2038.0,04.11.2015,0.0007118322712611,16.858536585365854,0.99230355,7037
05.11.2015,813.3948657652361,1446681600.0,1911.0,05.11.2015,0.0007035337310692,16.93121693121693,0.8912641,7498
06.11.2015,812.0178918708674,1446768000.0,1802.0,06.11.2015,0.0010932388303399,16.802800466744458,0.91102964,7882
07.11.2015,1004.8185696871192,1446854400.0,2058.0,07.11.2015,0.0017396648044692,17.553839902478668,0.9,10996
08.11.2015,1015.0850428201552,1446940800.0,2262.0,08.11.2015,0.0015110253277049,17.207727544313883,0.9077477,12413
09.11.2015,785.9363057324841,1447027200.0,2060.0,09.11.2015,0.0008859854787475,17.197452229299362,1.025,7689
10.11.2015,833.8094201464477,1447113600.0,1822.0,10.11.2015,0.0011441863840905,17.09875321591134,1.0102493,8151
11.11.2015,1044.147971360382,1447200000.0,2033.0,11.11.2015,0.0013736439455696,17.183770883054894,0.9507484,10217
12.11.2015,874.0563102973026,1447286400.0,1805.0,12.11.2015,0.001306539918986,17.011222681630244,0.77734196,9534
13.11.2015,807.736471967181,1447372800.0,1804.0,13.11.2015,0.0009359871448396,16.878296542293416,0.90000004,7891
14.11.2015,937.519602106495,1447459200.0,1794.0,14.11.2015,0.0012464868592445,16.8519602106495,0.89,7211
15.11.2015,797.409624639076,1447545600.0,1758.0,15.11.2015,0.000830597245861,16.631376323387872,0.908,7170
16.11.2015,782.0238142488589,1447632000.0,1864.0,16.11.2015,0.0007299280134783,17.146259178408414,0.91,7442
17.11.2015,762.2289366647298,1447718400.0,1901.0,17.11.2015,0.0007086953131092,16.73445671121441,0.9333501,7145
18.11.2015,773.7818719211823,1447804800.0,1859.0,18.11.2015,0.0008229574089819,17.02463054187192,1.0010098,7373
19.11.2015,881.9031545107495,1447891200.0,1862.0,19.11.2015,0.0010733337995664,17.359855334538878,0.9809995,8876
20.11.2015,814.1808938784156,1447977600.0,1763.0,20.11.2015,0.001006040794979,18.301207371319634,0.975,6348
21.11.2015,831.7807348560079,1448064000.0,1710.0,21.11.2015,0.0008644433585796,17.159880834160873,0.93,6822
22.11.2015,815.5076252723312,1448150400.0,2015.0,22.11.2015,0.0008589945198951,17.112299465240643,0.97999984,7083
23.11.2015,862.7239143250148,1448236800.0,1738.0,23.11.2015,0.0009195344129554,16.977795244645314,0.9594981,8260
24.11.2015,828.4241151769646,1448323200.0,1820.0,24.11.2015,0.0009841418058083,17.276544691061787,0.96638894,7152
25.11.2015,806.9827935222672,1448409600.0,1709.0,25.11.2015,0.0008759238521836,17.489878542510123,0.9016,7098
26.11.2015,784.1139676113361,1448496000.0,1804.0,26.11.2015,0.0006779124685138,17.489878542510123,0.90999997,7278
27.11.2015,789.8579435639737,1448582400.0,1660.0,27.11.2015,0.0006568592496556,16.698879010436798,0.8660622,6639
28.11.2015,773.8875798722045,1448668800.0,1651.0,28.11.2015,0.0010151419812842,17.252396166134186,0.8657,6817
29.11.2015,776.2574257425742,1448755200.0,1666.0,29.11.2015,0.0006355255761663,17.10891089108911,0.89815587,6853
30.11.2015,863.6964566929133,1448841600.0,1782.0,30.11.2015,0.0012584899190783,17.007874015748033,0.8888957,8986
01.12.2015,847.2627018511225,1448928000.0,1762.0,01.12.2015,0.0009094146968966,17.014572666404096,0.870001,6794
02.12.2015,819.2162106135987,1449014400.0,1673.0,02.12.2015,0.0008424029762408,17.91044776119403,0.88132346,6502
03.12.2015,778.2174831892411,1449100800.0,1755.0,03.12.2015,0.0007172579249587,16.59942363112392,0.84000003,6971
04.12.2015,803.6234025559105,1449187200.0,1741.0,04.12.2015,0.0008571891716647,17.252396166134186,0.8465975,6898
05.12.2015,835.3669596484219,1449273600.0,1713.0,05.12.2015,0.0008922225864612,17.25928885337595,0.83000004,6784
06.12.2015,876.7820069204153,1449360000.0,2001.0,06.12.2015,0.0010125924390075,17.585996336250762,0.84764284,9103
07.12.2015,774.7205793602897,1449446400.0,1952.0,07.12.2015,0.0006556366521221,17.380808690404344,0.84000003,7141
08.12.2015,771.0154754632458,1449532800.0,1753.0,08.12.2015,0.0005916335321404,17.593158216249236,0.8046,6697
09.12.2015,778.8728878648234,1449619200.0,1747.0,09.12.2015,0.0006185777847162,16.589861751152075,0.8,7001
10.12.2015,820.1415241057542,1449705600.0,1778.0,10.12.2015,0.0006749061662198,16.796267496111977,0.7853,7444
11.12.2015,884.3399841959699,1449792000.0,1784.0,11.12.2015,0.0010531532192937,17.068352429869616,0.84100014,8105
12.12.2015,916.288219070134,1449878400.0,2152.0,12.12.2015,0.0014955981695358,17.02127659574468,0.9,8205
13.12.2015,844.6327651515152,1449964800.0,1960.0,13.12.2015,0.0013491186570011,16.363636363636363,0.93847823,7426
14.12.2015,1752.096419283857,1450051200.0,2177.0,14.12.2015,0.0034787992763283,17.283456691338266,0.97749,15550
15.12.2015,1834.340039447732,1450137600.0,2164.0,15.12.2015,0.0042952617141998,17.041420118343197,1.0,21098
16.12.2015,1215.560016057808,1450224000.0,2150.0,16.12.2015,0.0028083922768113,17.34243275792854,0.99662375,10304
17.12.2015,1053.0719367588931,1450310400.0,2402.0,17.12.2015,0.0020881327855817,17.07509881422925,0.97613543,9612
18.12.2015,1057.0390438247011,1450396800.0,2184.0,18.12.2015,0.0020776648693488,17.211155378486055,0.9307421,9032
19.12.2015,1009.203056768559,1450483200.0,2187.0,19.12.2015,0.0017647936013014,17.149662564509725,0.91,9314
20.12.2015,1103.414392561148,1450569600.0,2207.0,20.12.2015,0.0020870097557781,17.465130382049725,0.92,9879
21.12.2015,1171.588223472669,1450656000.0,2312.0,21.12.2015,0.0019903477115197,17.363344051446944,0.8942204,12063
22.12.2015,2045.151296549035,1450742400.0,2311.0,22.12.2015,0.0019530024049301,16.84538896471047,0.8783808,21027
