Time,Price (BTC/USD) – Bitcoin,sum(Transaction count – Blocks) – Bitcoin,avg(Block size (kB)) – Bitcoin,f(number(86400)/count()) – Bitcoin,avg(Fee – Transactions (USD)) – Bitcoin
22.04.2009,0.01,121.0,215.96694214876032,714.0495867768595,0.0
23.04.2009,0.01,75.0,215.68,1152.0,0.0
24.04.2009,0.01,115.0,215.90434782608696,751.304347826087,0.0
25.04.2009,0.01,118.0,215.864406779661,732.2033898305085,0.0
26.04.2009,0.01,114.0,232.05357142857144,771.4285714285714,0.0
27.04.2009,0.01,104.0,215.8942307692308,830.7692307692307,0.0
28.04.2009,0.01,117.0,215.63247863247864,738.4615384615385,0.0
29.04.2009,0.01,129.0,234.09375,675.0,0.0
30.04.2009,0.01,131.0,215.95419847328245,659.5419847328244,0.0
01.05.2009,0.01,121.0,215.87603305785123,714.0495867768595,0.0
02.05.2009,0.01,128.0,231.37301587301587,685.7142857142857,2.34375e-06
03.05.2009,0.01,109.0,223.7264150943396,815.0943396226415,0.0
04.05.2009,0.01,129.0,242.9296875,675.0,0.0
05.05.2009,0.01,136.0,224.66666666666663,640.0,0.0
06.05.2009,0.01,135.0,215.9777777777778,640.0,0.0
07.05.2009,0.01,122.0,216.0,708.1967213114754,0.0
08.05.2009,0.01,107.0,215.94392523364485,807.4766355140187,0.0
09.05.2009,0.01,78.0,215.48717948717947,1107.6923076923076,0.0
10.05.2009,0.01,85.0,215.75294117647056,1016.470588235294,0.0
11.05.2009,0.01,121.0,218.8583333333333,720.0,8.2644628099e-06
12.05.2009,0.01,130.0,215.92307692307693,664.6153846153846,0.0
13.05.2009,0.01,116.0,225.7747747747748,778.3783783783783,0.0
14.05.2009,0.01,142.0,221.0863309352518,621.5827338129496,0.0
15.05.2009,0.01,137.0,224.60294117647055,635.2941176470588,0.0
16.05.2009,0.01,119.0,215.9495798319328,726.0504201680673,0.0
17.05.2009,0.01,127.0,215.96062992125985,680.3149606299213,0.0
18.05.2009,0.01,118.0,215.9237288135593,732.2033898305085,0.0
19.05.2009,0.01,86.0,215.88372093023256,1004.6511627906976,0.0
20.05.2009,0.01,120.0,215.7333333333333,720.0,0.0
21.05.2009,0.01,82.0,215.96341463414635,1053.658536585366,0.0
22.05.2009,0.01,61.0,215.9672131147541,1416.3934426229507,0.0
23.05.2009,0.01,32.0,215.9375,2700.0,0.0
