"Date","active_addr","avg.Block.size..kB.....Bitcoin","Price..BTC.USD....Bitcoin","f.number.86400..count......Bitcoin","sum.Transaction.count...Blocks....Bitcoin","avg.Fee...Transactions..USD.....Bitcoin"
2009-06-02,0,215.90990990991,0.01,778.378378378378,111,0
2009-06-03,0,216,0.01,1216.9014084507,71,0
2009-06-04,0,215.939393939394,0.01,1309.09090909091,66,0
2009-06-05,0,215.9,0.01,2880,30,0
2009-06-06,0,215.285714285714,0.01,3085.71428571429,28,0
2009-06-07,0,215.9375,0.01,5400,16,0
2009-06-08,0,215.768292682927,0.01,1053.65853658537,82,0
2009-06-09,0,215.802197802198,0.01,949.450549450549,91,0
2009-06-10,0,215.926829268293,0.01,1053.65853658537,82,0
2009-06-11,0,215.966292134831,0.01,970.786516853933,89,0
2009-06-12,0,215.860465116279,0.01,1004.6511627907,86,0
2009-06-13,0,215.448717948718,0.01,1107.69230769231,78,0
2009-06-14,0,215.694444444444,0.01,1200,72,0
2009-06-15,0,215.952380952381,0.01,1028.57142857143,84,0
2009-06-16,0,215.732394366197,0.01,1216.9014084507,71,0
2009-06-17,0,215.645569620253,0.01,1093.67088607595,79,0
2009-06-18,0,215.8125,0.01,1080,80,0
2009-06-19,0,215.67816091954,0.01,993.103448275862,87,0
2009-06-20,0,215.769230769231,0.01,1107.69230769231,78,0
2009-06-21,0,215.765432098765,0.01,1066.66666666667,81,0
2009-06-22,61,306.381578947368,0.01,1136.84210526316,77,0
2009-06-23,0,215.565789473684,0.01,1136.84210526316,76,0
2009-06-24,5,221.578947368421,0.01,909.473684210526,97,0
2009-06-25,21,249.75,0.01,1270.58823529412,69,0
2009-06-26,0,215.6,0.01,960,90,0
2009-06-27,0,215.833333333333,0.01,1028.57142857143,84,0
2009-06-28,2,220.739130434783,0.01,1878.26086956522,47,0
2009-06-29,2,218.722891566265,0.01,1040.96385542169,84,0
2009-06-30,4,221.047058823529,0.01,1016.47058823529,86,0
2009-07-01,3,219.432432432432,0.01,1167.56756756757,75,0
2009-07-02,2,218.614457831325,0.01,1040.96385542169,84,0
2009-07-03,0,215.975609756098,0.01,1053.65853658537,82,0
2009-07-04,0,215.876404494382,0.01,970.786516853933,89,0
2009-07-05,0,215.987341772152,0.01,1093.67088607595,79,0
2009-07-06,0,215.97619047619,0.01,1028.57142857143,84,0
2009-07-07,0,215.942028985507,0.01,1252.17391304348,69,0
2009-07-08,0,215.986486486486,0.01,1167.56756756757,74,0
2009-07-09,0,215.720930232558,0.01,1004.6511627907,86,0
2009-07-10,0,215.864197530864,0.01,1066.66666666667,81,0
2009-07-11,0,215.987951807229,0.01,1040.96385542169,83,0
2009-07-12,0,215.792207792208,0.01,1122.07792207792,77,0
2009-07-13,0,215.910256410256,0.01,1107.69230769231,78,0
2009-07-14,0,215.95652173913,0.01,1252.17391304348,69,0
2009-07-15,0,215.977777777778,0.01,1920,45,0
2009-07-16,0,215.859154929577,0.01,1216.9014084507,71,0
2009-07-17,0,215.808510638298,0.01,1838.29787234043,47,0
2009-07-18,0,215,0.01,21600,4,0
2009-07-19,0,215.8,0.01,1234.28571428571,70,0
2009-07-20,122,414.7,0.01,1234.28571428571,71,1.97183098591549e-05
2009-07-21,0,215.853658536585,0.01,1053.65853658537,82,0
2009-07-22,0,215.4,0.01,1440,60,0
2009-07-23,0,215.684210526316,0.01,1136.84210526316,76,0
2009-07-24,0,215.931506849315,0.01,1183.56164383562,73,0
2009-07-25,0,215.84375,0.01,2700,32,0
2009-07-26,0,215.52380952381,0.01,4114.28571428571,21,0
2009-07-27,0,215.905405405405,0.01,1167.56756756757,74,0
2009-07-28,0,215.707317073171,0.01,2107.31707317073,41,0
2009-07-29,3,229.947368421053,0.01,4547.36842105263,20,0
2009-07-30,2,231.2,0.01,5760,16,0
2009-07-31,0,215.705882352941,0.01,5082.35294117647,17,0
2009-08-01,0,215.821428571429,0.01,3085.71428571429,28,0
2009-08-02,0,215.608695652174,0.01,3756.52173913043,23,0
2009-08-03,0,215.833333333333,0.01,7200,12,0
2009-08-04,0,215.62962962963,0.01,1066.66666666667,81,0
2009-08-05,0,215.724137931034,0.01,993.103448275862,87,0
2009-08-06,0,215.922222222222,0.01,960,90,0
2009-08-07,112,375.525,0.01,1080,81,1.60493827160494e-05
2009-08-08,0,215.875,0.01,1080,80,0
2009-08-09,0,216,0.01,855.445544554455,101,0
2009-08-10,0,215.986666666667,0.01,1152,75,0
2009-08-11,0,215.914285714286,0.01,1234.28571428571,70,0
2009-08-12,0,215.52380952381,0.01,1371.42857142857,63,0
2009-08-13,0,215.764705882353,0.01,1016.47058823529,85,0
2009-08-14,0,215.825396825397,0.01,1371.42857142857,63,0
2009-08-15,0,215.384615384615,0.01,3323.07692307692,26,0
2009-08-16,0,215.526315789474,0.01,4547.36842105263,19,0
2009-08-17,0,215.823529411765,0.01,5082.35294117647,17,0
2009-08-18,0,216,0.01,8640,10,0
2009-08-19,0,215.388888888889,0.01,4800,18,0
2009-08-20,0,215.181818181818,0.01,3927.27272727273,22,0
2009-08-21,0,215,0.01,6171.42857142857,14,0
2009-08-22,0,215,0.01,12342.8571428571,7,0
2009-08-23,0,215.533333333333,0.01,5760,15,0
2009-08-24,0,215,0.01,5760,15,0
2009-08-25,0,215.66,0.01,1728,50,0
2009-08-26,48,335.833333333333,0.01,1800,51,0
2009-08-27,0,215.344827586207,0.01,2979.31034482759,29,0
2009-08-28,0,215.733333333333,0.01,1152,75,0
2009-08-29,0,215.807692307692,0.01,1107.69230769231,78,0
2009-08-30,2,217.381443298969,0.01,890.721649484536,98,0
2009-08-31,7,224.348837209302,0.01,1004.6511627907,87,0
2009-09-01,0,215.794871794872,0.01,1107.69230769231,78,0
2009-09-02,0,215.848484848485,0.01,1309.09090909091,66,0
2009-09-03,15,242.901639344262,0.01,1416.39344262295,62,0
2009-09-04,0,215.671875,0.01,1350,64,0
