Time	sum(Transaction count – Blocks) – Ethereum
12.06.2016	42581
13.06.2016	46185
14.06.2016	50335
15.06.2016	43251
16.06.2016	43392
17.06.2016	66558
18.06.2016	63083
19.06.2016	51035
20.06.2016	47118
21.06.2016	47323
22.06.2016	48615
23.06.2016	41908
24.06.2016	45331
25.06.2016	36684
26.06.2016	41613
27.06.2016	39663
28.06.2016	43089
29.06.2016	49897
30.06.2016	63952
01.07.2016	40085
02.07.2016	39257
03.07.2016	39757
04.07.2016	39950
05.07.2016	39270
06.07.2016	37900
07.07.2016	40433
08.07.2016	42506
09.07.2016	40410
10.07.2016	39358
11.07.2016	38582
12.07.2016	40811
13.07.2016	35740
14.07.2016	42809
15.07.2016	41110
16.07.2016	38062
17.07.2016	33914
18.07.2016	39198
19.07.2016	44184
20.07.2016	50631
21.07.2016	44882
22.07.2016	48458
23.07.2016	45006
24.07.2016	58215
25.07.2016	54856
26.07.2016	61930
27.07.2016	53035
28.07.2016	48555
29.07.2016	47243
30.07.2016	42011
31.07.2016	48749
01.08.2016	45978
02.08.2016	49041
03.08.2016	49475
04.08.2016	46761
05.08.2016	43212
06.08.2016	41487
07.08.2016	42955
08.08.2016	42984
09.08.2016	47057
10.08.2016	46290
11.08.2016	48171
12.08.2016	44400
13.08.2016	41088
14.08.2016	40577
15.08.2016	42302
16.08.2016	48949
17.08.2016	44867
18.08.2016	47799
19.08.2016	42948
20.08.2016	41318
21.08.2016	42543
22.08.2016	44250
23.08.2016	48430
24.08.2016	46821
25.08.2016	49868
26.08.2016	47292
27.08.2016	47938
28.08.2016	42607
29.08.2016	45510
30.08.2016	46979
31.08.2016	45846
01.09.2016	47491
02.09.2016	55413
03.09.2016	44792
04.09.2016	48128
05.09.2016	42667
06.09.2016	49102
07.09.2016	48701
08.09.2016	55970
09.09.2016	53918
10.09.2016	42875
11.09.2016	43345
12.09.2016	45123
13.09.2016	42591
14.09.2016	53859
15.09.2016	52622
16.09.2016	57532
17.09.2016	46882
18.09.2016	37893
19.09.2016	40505
20.09.2016	54067
21.09.2016	44549
22.09.2016	52657
23.09.2016	35219
24.09.2016	43418
25.09.2016	38713
26.09.2016	43514
27.09.2016	46817
28.09.2016	42797
29.09.2016	40416
30.09.2016	35836
01.10.2016	53076
02.10.2016	51105
03.10.2016	47672
04.10.2016	56662
05.10.2016	41719
06.10.2016	36826
