Time	avg(Fee – Transactions (USD)) – Ethereum
30.07.2015	0
31.07.2015	0
01.08.2015	0
02.08.2015	0
03.08.2015	0
04.08.2015	0
05.08.2015	0
06.08.2015	0
07.08.2015	0.004879275627615063
08.08.2015	0.013076684118673649
09.08.2015	0.0028714389640622727
10.08.2015	0.005661411703646036
11.08.2015	0.0006991480198483287
12.08.2015	0.004481674089599161
13.08.2015	0.0037545528266913807
14.08.2015	0.003220402600125813
15.08.2015	0.0017708523498211424
16.08.2015	0.0014859369108960665
17.08.2015	0.0016422656629431764
18.08.2015	0.0023781664964249234
19.08.2015	0.0019037049664734629
20.08.2015	0.0012998177399756988
21.08.2015	0.0012075120385232746
22.08.2015	0.006169323013190886
23.08.2015	0.0011312926598760894
24.08.2015	0.0011817972580806565
25.08.2015	0.0008735961286420002
26.08.2015	0.0008781018812090468
27.08.2015	0.001033273381294964
28.08.2015	0.0011439284236657013
29.08.2015	0.000666080459770115
30.08.2015	0.0007793509993262969
31.08.2015	0.0009847894736842106
01.09.2015	0.0009864284171885122
02.09.2015	0.0011449421803076231
03.09.2015	0.0010512189234853971
04.09.2015	0.0011595715808859165
05.09.2015	0.001153182751540041
06.09.2015	0.0008535595721136112
07.09.2015	0.0009788859270153506
08.09.2015	0.0012783347103644542
09.09.2015	0.0011791059723233795
10.09.2015	0.0009037568751747927
11.09.2015	0.0009271395271395271
12.09.2015	0.0010101268132469664
13.09.2015	0.0008662683419734644
14.09.2015	0.0007935083001020124
15.09.2015	0.0008251199548405307
16.09.2015	0.001387455516014235
17.09.2015	0.0007083143723928707
18.09.2015	0.0009213448711014964
19.09.2015	0.0007077137287663604
20.09.2015	0.0008664021164021164
21.09.2015	0.0008298378839590442
22.09.2015	0.0008141117419567186
23.09.2015	0.0007848639851197396
24.09.2015	0.0007745037113757984
25.09.2015	0.0007283875517940581
26.09.2015	0.0005655302013422819
27.09.2015	0.0005966881918819188
28.09.2015	0.0005653017241379311
29.09.2015	0.0005485503179947624
30.09.2015	0.000443048347446053
01.10.2015	0.0005502749083638787
02.10.2015	0.0005800520381613184
03.10.2015	0.0005602822053828063
04.10.2015	0.0005367144432194046
05.10.2015	0.0006519170984455959
06.10.2015	0.0005703035559410234
07.10.2015	0.0005724798711755233
08.10.2015	0.0005661321671525753
09.10.2015	0.0006341811466465206
10.10.2015	0.0006498931167165455
11.10.2015	0.0005275072387470387
12.10.2015	0.0005855800415800415
13.10.2015	0.0005894168643166762
14.10.2015	0.0005716070837471036
15.10.2015	0.0008868754277891854
16.10.2015	0.0009632917747468831
17.10.2015	0.0005133054042731462
18.10.2015	0.0005557962978759703
19.10.2015	0.00048712721145745583
20.10.2015	0.000486710045458597
21.10.2015	0.0004123636680917896
22.10.2015	0.0005323770123212519
23.10.2015	0.000616159269347861
24.10.2015	0.00042419110212335695
25.10.2015	0.0005279240932872217
26.10.2015	0.0006419282911166607
27.10.2015	0.001130226171243942
28.10.2015	0.0007331209188891512
29.10.2015	0.0007140923626087603
30.10.2015	0.0013161758209394787
31.10.2015	0.0012096374622356497
01.11.2015	0.001202079067569696
02.11.2015	0.0008932386691983819
03.11.2015	0.0009082714252891168
04.11.2015	0.0007118322712611124
05.11.2015	0.0007035337310692978
06.11.2015	0.0010932388303399139
07.11.2015	0.0017396648044692739
08.11.2015	0.0015110253277049544
09.11.2015	0.000885985478747542
10.11.2015	0.0011441863840905792
11.11.2015	0.0013736439455696995
12.11.2015	0.0013065399189860186
13.11.2015	0.0009359871448396756
14.11.2015	0.0012464868592445024
15.11.2015	0.0008305972458610552
16.11.2015	0.0007299280134783275
17.11.2015	0.0007086953131092568
18.11.2015	0.0008229574089819897
19.11.2015	0.0010733337995664032
20.11.2015	0.0010060407949790795
21.11.2015	0.000864443358579689
22.11.2015	0.0008589945198951632
23.11.2015	0.0009195344129554656
24.11.2015	0.0009841418058083406
25.11.2015	0.0008759238521836506
26.11.2015	0.0006779124685138539
27.11.2015	0.0006568592496556195
28.11.2015	0.0010151419812842854
29.11.2015	0.0006355255761663856
30.11.2015	0.0012584899190783156
01.12.2015	0.0009094146968966073
02.12.2015	0.0008424029762408049
03.12.2015	0.0007172579249587037
04.12.2015	0.0008571891716647756
05.12.2015	0.0008922225864612358
06.12.2015	0.0010125924390075333
07.12.2015	0.0006556366521221738
08.12.2015	0.0005916335321404904
09.12.2015	0.0006185777847162595
10.12.2015	0.0006749061662198392
11.12.2015	0.0010531532192937377
12.12.2015	0.0014955981695358466
13.12.2015	0.0013491186570011447
14.12.2015	0.0034787992763283186
15.12.2015	0.004295261714199828
16.12.2015	0.002808392276811317
17.12.2015	0.0020881327855817654
18.12.2015	0.002077664869348818
19.12.2015	0.0017647936013014303
20.12.2015	0.0020870097557781704
21.12.2015	0.0019903477115197346
22.12.2015	0.0019530024049301065
23.12.2015	0.002517529992942837
24.12.2015	0.002042072462237245
25.12.2015	0.0015233903286134118
26.12.2015	0.001719907034397273
27.12.2015	0.0027096625598654624
28.12.2015	0.0017456842576028624
29.12.2015	0.001700238066896798
30.12.2015	0.0024865331618592686
31.12.2015	0.0014941228625712476
01.01.2016	0.0010768521251475797
02.01.2016	0.001253224058520726
03.01.2016	0.0012456403726291804
04.01.2016	0.0013517367095320163
05.01.2016	0.0025657979131848774
06.01.2016	0.0027554861691367256
07.01.2016	0.0022709603824147173
08.01.2016	0.0014877837837837839
09.01.2016	0.0022380395528804817
10.01.2016	0.001602264720684449
11.01.2016	0.0015414424308987735
12.01.2016	0.0016756404689535387
13.01.2016	0.0029062161342060778
