Time	f(number(86400)/count()) – Ethereum
30.07.2015	12.5
31.07.2015	12.589246685123124
01.08.2015	16.323446060835064
02.08.2015	16.12541993281075
03.08.2015	16.363636363636363
04.08.2015	16.09538002980626
05.08.2015	16.50429799426934
06.08.2015	16.888193901485536
07.08.2015	16.650607053382153
08.08.2015	16.438356164383563
09.08.2015	16.86511809486629
10.08.2015	16.441484300666033
11.08.2015	16.363636363636363
12.08.2015	16.861826697892273
13.08.2015	16.34506242905789
14.08.2015	14.873472198312962
15.08.2015	16.05351170568562
16.08.2015	16.835541699142635
17.08.2015	16.158593603890033
18.08.2015	17.461600646725948
19.08.2015	16.640986132511557
20.08.2015	21.47117296222664
21.08.2015	16.9811320754717
22.08.2015	16.3915765509391
23.08.2015	17.235188509874327
24.08.2015	16.666666666666668
25.08.2015	16.951147733961154
26.08.2015	17.269638217069758
27.08.2015	18.351741716227696
28.08.2015	18.568665377176014
29.08.2015	19.95841995841996
30.08.2015	20.794223826714802
31.08.2015	20.96069868995633
01.09.2015	21.940071102082275
02.09.2015	24.154319261951358
03.09.2015	25.539462015962165
04.09.2015	19.446320054017555
05.09.2015	17.55740703109124
06.09.2015	17.356368019284854
07.09.2015	17.873396772858914
08.09.2015	17.550274223034734
09.09.2015	17.159880834160873
10.09.2015	17.269638217069758
11.09.2015	16.806068858198795
12.09.2015	17.19060883406287
13.09.2015	17.380808690404344
14.09.2015	17.810760667903526
15.09.2015	17.843866171003718
16.09.2015	17.433414043583536
17.09.2015	17.970049916805323
18.09.2015	17.672325628962977
19.09.2015	17.014572666404096
20.09.2015	16.286522148916116
21.09.2015	17.02463054187192
22.09.2015	17.10552365868145
23.09.2015	16.727976766698934
24.09.2015	17.207727544313883
25.09.2015	16.85524775653531
26.09.2015	17.525354969574035
27.09.2015	18.101822752985544
28.09.2015	18.235542422963274
29.09.2015	18.620689655172413
30.09.2015	18.16270758881648
01.10.2015	16.58349328214971
02.10.2015	16.799533346295938
03.10.2015	17.017923970848926
04.10.2015	17.683176422431437
05.10.2015	17.24895188660411
06.10.2015	17.97752808988764
07.10.2015	17.26618705035971
08.10.2015	16.770186335403725
09.10.2015	17.61467889908257
10.10.2015	17.647058823529413
11.10.2015	17.031342400946187
12.10.2015	16.783216783216783
13.10.2015	16.91464369616288
14.10.2015	17.51114714227807
15.10.2015	17.53958587088916
16.10.2015	17.694040548842924
17.10.2015	17.088607594936708
18.10.2015	17.472194135490394
19.10.2015	17.366834170854272
20.10.2015	17.314629258517034
21.10.2015	17.314629258517034
22.10.2015	17.869700103412615
23.10.2015	16.416492494774843
24.10.2015	16.708567008315605
25.10.2015	16.95447409733124
26.10.2015	17.6039119804401
27.10.2015	16.551724137931036
28.10.2015	17.394805717737064
29.10.2015	16.750678557580457
30.10.2015	16.513761467889907
31.10.2015	16.84538896471047
01.11.2015	16.750678557580457
02.11.2015	17.197452229299362
03.11.2015	16.991150442477878
04.11.2015	16.858536585365854
05.11.2015	16.93121693121693
06.11.2015	16.802800466744458
07.11.2015	17.553839902478668
08.11.2015	17.207727544313883
09.11.2015	17.197452229299362
10.11.2015	17.09875321591134
11.11.2015	17.183770883054894
12.11.2015	17.011222681630244
13.11.2015	16.878296542293416
14.11.2015	16.8519602106495
15.11.2015	16.631376323387872
16.11.2015	17.146259178408414
17.11.2015	16.73445671121441
18.11.2015	17.02463054187192
19.11.2015	17.359855334538878
20.11.2015	18.301207371319634
21.11.2015	17.159880834160873
22.11.2015	17.112299465240643
23.11.2015	16.977795244645314
24.11.2015	17.276544691061787
25.11.2015	17.489878542510123
26.11.2015	17.489878542510123
27.11.2015	16.698879010436798
28.11.2015	17.252396166134186
29.11.2015	17.10891089108911
30.11.2015	17.007874015748033
01.12.2015	17.014572666404096
02.12.2015	17.91044776119403
03.12.2015	16.59942363112392
04.12.2015	17.252396166134186
05.12.2015	17.25928885337595
06.12.2015	17.585996336250762
07.12.2015	17.380808690404344
08.12.2015	17.593158216249236
09.12.2015	16.589861751152075
10.12.2015	16.796267496111977
11.12.2015	17.068352429869616
12.12.2015	17.02127659574468
13.12.2015	16.363636363636363
14.12.2015	17.283456691338266
15.12.2015	17.041420118343197
16.12.2015	17.34243275792854
17.12.2015	17.07509881422925
18.12.2015	17.211155378486055
19.12.2015	17.149662564509725
20.12.2015	17.465130382049725
21.12.2015	17.363344051446944
22.12.2015	16.84538896471047
23.12.2015	16.901408450704224
24.12.2015	17.218015145476286
25.12.2015	17.007874015748033
26.12.2015	17.26618705035971
27.12.2015	17.218015145476286
28.12.2015	17.004526667978745
29.12.2015	17.34591447500502
30.12.2015	17.183770883054894
31.12.2015	17.142857142857142
01.01.2016	17.686796315250767
02.01.2016	16.957801766437683
03.01.2016	16.82898324892871
04.01.2016	16.95447409733124
05.01.2016	16.85524775653531
06.01.2016	16.974459724950883
07.01.2016	17.34591447500502
08.01.2016	16.69242658423493
09.01.2016	16.94449892135713
10.01.2016	16.96446102493619
11.01.2016	16.917955747013902
12.01.2016	17.525354969574035
13.01.2016	17.273090763694523
14.01.2016	16.974459724950883
15.01.2016	16.99449252557042
16.01.2016	17.122473246135552
17.01.2016	17.15647339158062
