Time	avg(Block size (kB)) – Ethereum
30.07.2015	643.87109375
31.07.2015	582.0279761037447
01.08.2015	575.1641791044776
02.08.2015	580.8786860768944
03.08.2015	587.1123106060606
04.08.2015	586.9698211624441
05.08.2015	578.945558739255
06.08.2015	583.6708365910868
07.08.2015	632.6253613412989
08.08.2015	667.5947488584475
09.08.2015	618.2980675385517
10.08.2015	631.1861084681256
11.08.2015	692.0140151515152
12.08.2015	653.4264246682279
13.08.2015	665.7222852818767
14.08.2015	659.751420210019
15.08.2015	638.3351913786696
16.08.2015	640.6537412314887
17.08.2015	634.7076865532074
18.08.2015	648.4882780921585
19.08.2015	653.3210708782742
20.08.2015	650.0931908548707
21.08.2015	667.5852987421383
22.08.2015	648.0377537469171
23.08.2015	680.5922601236784
24.08.2015	672.5474537037037
25.08.2015	679.72984108299
26.08.2015	668.6524085548671
27.08.2015	707.929056924384
28.08.2015	690.880077369439
29.08.2015	682.0364980364981
30.08.2015	688.9364620938628
31.08.2015	730.6513828238719
01.09.2015	741.2826307770442
02.09.2015	766.2815208275091
03.09.2015	755.390481820869
04.09.2015	762.3567409408057
05.09.2015	752.8949400528348
06.09.2015	733.4594214543994
07.09.2015	752.5999172527927
08.09.2015	759.3871622994109
09.09.2015	764.6240317775571
10.09.2015	729.939636218269
11.09.2015	735.9089671270181
12.09.2015	761.4233983286908
13.09.2015	763.5612552806276
14.09.2015	771.1700680272108
15.09.2015	755.3246592317224
16.09.2015	738.5984665052462
17.09.2015	753.3924708818636
18.09.2015	784.6755982818572
19.09.2015	734.6896415911776
20.09.2015	765.9624882186616
21.09.2015	778.8344827586207
22.09.2015	806.9829736685805
23.09.2015	784.0600193610842
24.09.2015	781.6510655247959
25.09.2015	767.0530628170113
26.09.2015	764.7290060851927
27.09.2015	724.7261680284936
28.09.2015	755.2131701139722
29.09.2015	762.1808189655172
30.09.2015	741.8953121715367
01.10.2015	740.8840690978886
02.10.2015	773.0676647870893
03.10.2015	768.6513689186528
04.10.2015	775.8409742120344
05.10.2015	771.40946296666
06.10.2015	781.0230961298377
07.10.2015	808.1430855315747
08.10.2015	788.7191381987577
09.10.2015	779.3384301732925
10.10.2015	777.7898284313726
11.10.2015	748.1983047506407
12.10.2015	787.4630924630925
13.10.2015	817.9530148786217
14.10.2015	791.1678151601135
15.10.2015	824.1496142915145
16.10.2015	826.8799918083146
17.10.2015	787.8924050632911
18.10.2015	812.0784630940344
19.10.2015	801.9077386934673
